Pin Name,Pin_#,Latitude,Longitude,Height
Building 40,pin_1,37.42257124044786,-122.0848938459612,17
Building 40,pin_2,37.42211922626856,-122.0849580979198,17
Building 40,pin_3,37.42207183952619,-122.0847469573047,17
Building 40,pin_4,37.42209006729676,-122.0845725380962,17
Building 40,pin_5,37.42215932700895,-122.0845954886723,17
Building 40,pin_6,37.42227278564371,-122.0838521118269,17
Building 40,pin_7,37.42203539112084,-122.083792243335,17
Building 40,pin_8,37.42209006957106,-122.0835076656616,17
Building 40,pin_9,37.42200987395161,-122.0834709464152,17
Building 40,pin_10,37.4221046494946,-122.0831221085748,17
Building 40,pin_11,37.42226503990386,-122.0829247374572,17
Building 40,pin_12,37.42231242843094,-122.0829339169385,17
Building 40,pin_13,37.42225046087618,-122.0833837359737,17
Building 40,pin_14,37.42234159228745,-122.0833607854248,17
Building 40,pin_15,37.42237075460644,-122.0834204551642,17
Building 40,pin_16,37.42251292011001,-122.083659133885,17
Building 40,pin_17,37.42265873093781,-122.0839758438952,17
Building 40,pin_18,37.42265143972521,-122.0842374743331,17
Building 40,pin_19,37.4226514386435,-122.0845036949503,17
Building 40,pin_20,37.42261133916315,-122.0848020460801,17
Building 40,pin_21,37.42256395055121,-122.0847882750515,17
Building 40,pin_22,37.42257124044786,-122.0848938459612,17
Building 41,pin_1,37.42227033155257,-122.0857412771483,17
Building 41,pin_2,37.42231408832346,-122.0858169768481,17
Building 41,pin_3,37.42230337469744,-122.085852582875,17
Building 41,pin_4,37.42225686138789,-122.0858799945639,17
Building 41,pin_5,37.4222311076138,-122.0858860101409,17
Building 41,pin_6,37.42220250173855,-122.0858069157288,17
Building 41,pin_7,37.42214027058678,-122.0858379542653,17
Building 41,pin_8,37.42208690214408,-122.0856732640519,17
Building 41,pin_9,37.42214885429042,-122.0856022926407,17
Building 41,pin_10,37.422128290487,-122.0855902778436,17
Building 41,pin_11,37.42208171967246,-122.0855841672237,17
Building 41,pin_12,37.42210455874995,-122.0854852065741,17
Building 41,pin_13,37.42214267949824,-122.0855067264352,17
Building 41,pin_14,37.42212783846172,-122.0854430712915,17
Building 41,pin_15,37.42251282407603,-122.0850990714904,17
Building 41,pin_16,37.42281815323651,-122.0856769818632,17
Building 41,pin_17,37.42244918858722,-122.0860162273783,17
Building 41,pin_18,37.42229239604253,-122.0857260327004,17
Building 41,pin_19,37.42227033155257,-122.0857412771483,17
Building 42,pin_1,37.42136208886969,-122.0857862287242,25
Building 42,pin_2,37.42136935989481,-122.0857312990603,25
Building 42,pin_3,37.42140934910903,-122.0857312992918,25
Building 42,pin_4,37.42138390166565,-122.0856077073679,25
Building 42,pin_5,37.42137299550869,-122.0855802426516,25
Building 42,pin_6,37.42137299504316,-122.0852186221971,25
Building 42,pin_7,37.42161656508265,-122.0852277765639,25
Building 42,pin_8,37.42160565894403,-122.0852598189347,25
Building 42,pin_9,37.42168200156,-122.0852598185499,25
Building 42,pin_10,37.42170017860346,-122.0852369311478,25
Building 42,pin_11,37.42176197982575,-122.0852643957828,25
Building 42,pin_12,37.42176198013907,-122.0853239032746,25
Building 42,pin_13,37.421852864452,-122.0853559454324,25
Building 42,pin_14,37.42188921823734,-122.0854108752463,25
Building 42,pin_15,37.42189285337048,-122.0854795379357,25
Building 42,pin_16,37.42188921797546,-122.0855436229819,25
Building 42,pin_17,37.42186013499926,-122.0856260178042,25
Building 42,pin_18,37.42186013453605,-122.085937287963,25
Building 42,pin_19,37.42160898590042,-122.0859428718666,25
Building 42,pin_20,37.42157992759144,-122.0859655469861,25
Building 42,pin_21,37.42147115002957,-122.0858640462341,25
Building 42,pin_22,37.42140571326184,-122.0858548911215,25
Building 42,pin_23,37.4214057134039,-122.0858091162768,25
Building 42,pin_24,37.42136208886969,-122.0857862287242,25
Building 43,pin_1,37.42177253003091,-122.0844371128284,19
Building 43,pin_2,37.42191111542896,-122.0845118855746,19
Building 43,pin_3,37.42178755121535,-122.0850470999805,19
Building 43,pin_4,37.42143663023161,-122.0850719913391,19
Building 43,pin_5,37.42137237822116,-122.084916406232,19
Building 43,pin_6,37.42137237801626,-122.0842193868167,19
Building 43,pin_7,37.42147617161496,-122.08421938659,19
Building 43,pin_8,37.4214613409357,-122.0838086419991,19
Building 43,pin_9,37.42131306410796,-122.0837899728564,19
Building 43,pin_10,37.42129328840593,-122.0832796534698,19
Building 43,pin_11,37.42139213944298,-122.0832609819207,19
Building 43,pin_12,37.42137236399876,-122.0829373621737,19
Building 43,pin_13,37.42151569778871,-122.0829062425667,19
Building 43,pin_14,37.42176282576465,-122.0828502269665,19
Building 43,pin_15,37.42176776969635,-122.0829435788635,19
Building 43,pin_16,37.42179248552686,-122.083217411188,19
Building 43,pin_17,37.4217480074456,-122.0835970430103,19
Building 43,pin_18,37.42169364237603,-122.0839455556771,19
Building 43,pin_19,37.42176283815853,-122.0840077894637,19
Building 43,pin_20,37.42174801104392,-122.084113587521,19
Building 43,pin_21,37.42171341292375,-122.0840762473784,19
Building 43,pin_22,37.42167881534569,-122.0841447047739,19
Building 43,pin_23,37.42181720660197,-122.084144704223,19
Building 43,pin_24,37.4218170700446,-122.0842503333074,19
Building 43,pin_25,37.42177253003091,-122.0844371128284,19
The Pentagon,pin_1,38.87253259892824,-77.05788457660967,100
The Pentagon,pin_2,38.87291016281703,-77.05465973756702,100
The Pentagon,pin_3,38.87053267794386,-77.05315536854791,100
The Pentagon,pin_4,38.868757801256,-77.05552622493516,100
The Pentagon,pin_5,38.86996206506943,-77.05844056290393,100
The Pentagon,pin_6,38.87253259892824,-77.05788457660967,100
Absolute,pin_1,36.14888505105317,-112.3372510731295,1784
Absolute,pin_2,36.14781540589019,-112.3356128688403,1784
Absolute,pin_3,36.14658677734382,-112.3368169371048,1784
Absolute,pin_4,36.14762778914076,-112.3384408457543,1784
Absolute,pin_5,36.14888505105317,-112.3372510731295,1784
Absolute Extruded,pin_1,36.14637618647505,-112.3396586818843,1784
Absolute Extruded,pin_2,36.14531751871353,-112.3380597654315,1784
Absolute Extruded,pin_3,36.14659596244607,-112.3368254237788,1784
Absolute Extruded,pin_4,36.14762621763982,-112.3384555043203,1784
Absolute Extruded,pin_5,36.14637618647505,-112.3396586818843,1784
Relative,pin_1,36.14988705767721,-112.3349463145932,100
Relative,pin_2,36.14941108398372,-112.3354019540677,100
Relative,pin_3,36.14878490381308,-112.3344428289146,100
Relative,pin_4,36.14780840132443,-112.3331289492913,100
Relative,pin_5,36.14680755678357,-112.3317019516947,100
Relative,pin_6,36.1474173426228,-112.331131440106,100
Relative,pin_7,36.14845453364654,-112.332616324338,100
Relative,pin_8,36.14926570522069,-112.3339876620524,100
Relative,pin_9,36.14988705767721,-112.3349463145932,100
Relative Extruded,pin_1,36.1514008468736,-112.3348783983763,100
Relative Extruded,pin_2,36.14888517553886,-112.3372535345629,100
Relative Extruded,pin_3,36.14781612679284,-112.3356068927954,100
Relative Extruded,pin_4,36.14846469024177,-112.3350034807972,100
Relative Extruded,pin_5,36.1489624162954,-112.3358353861232,100
Relative Extruded,pin_6,36.15026229372507,-112.3345888301373,100
Relative Extruded,pin_7,36.14978096026463,-112.3337937856278,100
Relative Extruded,pin_8,36.1504472788618,-112.3331798208424,100
Relative Extruded,pin_9,36.1514008468736,-112.3348783983763,100
